Started,Finished,DurationSecs,FromStopId,ToStopId,ChargeAmount,CompanyId,BusID,PAN,Status
"22-01-2018 13:00:00","22-01-2018 13:05:23",323,Stop1,Stop2,"$3.25",Company1,Bus37,6759649826438453,COMPLETED
"22-01-2018 13:03:12","22-01-2018 13:05:56",164,Stop1,Stop3,"$7.30",Company1,Bus37,122000000000003,COMPLETED
"22-01-2018 13:01:32","22-01-2018 13:06:45",313,Stop2,Stop3,"$5.50",Company1,Bus37,6799990100000000019,COMPLETED
"22-01-2018 13:10:23","22-01-2018 13:11:34",71,Stop2,Stop1,"$3.25",Company1,Bus37,34343434343434,COMPLETED
"22-01-2018 13:13:59","22-01-2018 13:15:29",90,Stop3,Stop1,"$7.30",Company1,Bus37,4484070000000000,COMPLETED
"22-01-2018 13:12:26","22-01-2018 13:16:17",231,Stop3,Stop2,"$5.50",Company1,Bus37,4917610000000000003,COMPLETED
"22-01-2018 13:20:14","22-01-2018 13:21:56",102,Stop2,Stop2,"$0.00",Company1,Bus37,122000000000003,CANCELLED
"22-01-2018 13:25:14","22-01-2018 13:27:56",162,Stop1,Stop1,"$0.00",Company1,Bus37,630495060000000000,CANCELLED
"22-01-2018 14:08:00",,0,Stop2,,"$5.50",Company1,Bus37,3528000700000000,INCOMPLETE
"22-01-2018 16:17:00",,0,Stop1,,"$7.30",Company1,Bus37,3528000700000000,INCOMPLETE
"22-01-2018 17:13:12","22-01-2018 18:15:56",3764,Stop1,Stop2,"$3.25",Company1,Bus37,122000000000003,COMPLETED
"22-01-2018 16:17:00",,0,Stop1,,"$7.30",Company1,Bus37,3528000700000000,INCOMPLETE
